type,name,year,digital,location,creator,owner,size_staff,revenue,monthly_creators,monthly_users,total_content,users,address,tag
game,Minecraft,2011,TRUE,Stockholm,Mojang,Microsoft,,,,140000000,,238000000,,Microsoft
game,Terraria,2011,TRUE,Indiana,Re-Logic,Re-Logic,,,,,,44500000,,
game,Roblox,2006,TRUE,Silicon Valley,Roblox,Roblox,,2230000000,,164000000,40000000,230000000,,
game,Super Mario Maker,2015,TRUE,Kyoto,Nintendo,Nintendo,,22000000000,,,7200000,4020000,,Nintendo
game,Super Mario Maker 2,2019,TRUE,Kyoto,Nintendo,Nintendo,,,,,,7150000,,Nintendo
game,Roller Coaster Tycoon,1999,TRUE,Boston,Hasbro,Atari,,,,,,719535,,
game,Roller Coaster Tycoon 2,2002,TRUE,New York,Infogrames,Atari,,21600000,,,,940000,,
game,Roller Coaster Tycoon 3,2004,TRUE,New York,Atari,Atari,,,,,,10000000,,
game,Cities: Skylines,2015,TRUE,,Unity,Colossal Order,,,,,,12000000,,
game,SimCity,1983,TRUE,,Maxis,EA,,,,,,1100000,,
software,SketchUp,2000,TRUE,,Google,Trimble,,,,,,,,Alphabet
software,Photoshop,,TRUE,,,Adobe,,,,,,29000000,,Adobe
software,Revit,,TRUE,,,Autodesk,,,,,,4000000,,AutoDesk
software,Rhinoceros,,TRUE,,,McNeel,,,,,,,,
software,Blender,,TRUE,,,,,,,,,,,
software,Illustrator,,TRUE,,,Adobe,,,,,,26000000,,Adobe
software,Unity,2005,TRUE,Silicon Valley,Unity,Unity,7703,1390000000,1500000,2000000000,,5500000,,
software,Unreal Engine,,TRUE,,,Epic Games,,,,,,7000000,,
software,Enscape,2013,TRUE,Karlsruhe,Enscape,Chaos,,,,,,685000,,
software,V-Ray,1997,TRUE,Karlsruhe,Chaos,Chaos,,,,,,,,
software,ArchiCAD,,TRUE,,,,,,,,,,,