Plantation,Filed Owner,State,District/County,Area,Lat,Long
Chicora Wood,"Robert Allston, Allston Family",South Carolina,Georgetown,Pee Dee River,33.54364892,-79.18558357
,"Robert Allston, Allston Family",South Carolina,Georgetown,Cribbs Bay,null,null
,"Robert Allston, Allston Family",South Carolina,Georgetown,Elick Gully,null,null
,"Robert Allston, Allston Family",South Carolina,Georgetown,Rogers Branch,34.60427977,-80.192693
,"Robert Allston, Allston Family",South Carolina,Georgetown,Georgetown District,33.37708234,-79.29410697
,Elizabeth Allston,South Carolina,Charleston,2nd Ward Charleston City,32.94698761,-80.07510406
,Elizabeth Allston,South Carolina,Georgetown,Georgetown County,33.37708234,-79.29410697
,Elizabeth Allston,South Carolina,Georgetown,Prince Georges,null,null
,Elizabeth Allston,South Carolina,Richland,Columbia,34.67776932,-83.02306846
,Elizabeth Allston,South Carolina,Beufort,St. Helena,32.37795391,-80.5595032
,Elizabeth Allston,South Carolina,Williamsburg,Sutton,33.65140281,-79.73118101
,Elizabeth Allston,South Carolina,Marion,Leggett,34.18544781,-79.39639201
,Elizabeth Allston,South Carolina,Charleston,St. James Parish,null,null
,Elizabeth Allston,South Carolina,Fairfield,Township 12,34.34945383,-81.05296437
,Elizabeth Allston,South Carolina,Georgetown,Waccamaw,33.4817376,-79.16585684